Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
SHITOMASI,BRISK,0,1370,125,16.89197600,188.49335100,0,0.00000000
SHITOMASI,BRISK,1,1301,118,9.52355700,185.32387100,95,0.27084100
SHITOMASI,BRISK,2,1361,123,9.71699700,186.57072100,88,0.24813100
SHITOMASI,BRISK,3,1358,120,9.79149500,185.86081500,80,0.22162600
SHITOMASI,BRISK,4,1333,120,8.87813500,186.81948600,90,0.21994500
SHITOMASI,BRISK,5,1284,113,10.06347800,187.34020700,82,0.23687000
SHITOMASI,BRISK,6,1322,114,8.76868500,184.54769800,79,0.22687200
SHITOMASI,BRISK,7,1366,123,10.02515600,184.66848300,85,0.25034800
SHITOMASI,BRISK,8,1389,111,9.98601500,202.34945500,86,0.22987300
SHITOMASI,BRISK,9,1339,112,9.16155500,188.88201700,82,0.22568700

SHITOMASI,BRIEF,0,1370,125,8.74921300,1.06865600,0,0.00357500
SHITOMASI,BRIEF,1,1301,118,10.60833700,0.59554400,115,0.27659100
SHITOMASI,BRIEF,2,1361,123,10.05646500,0.81995800,111,0.19132400
SHITOMASI,BRIEF,3,1358,120,9.92335000,0.47734500,104,0.16302800
SHITOMASI,BRIEF,4,1333,120,15.31942500,1.25144600,101,0.22165300
SHITOMASI,BRIEF,5,1284,113,10.03375100,0.56144800,102,0.26238800
SHITOMASI,BRIEF,6,1322,114,7.56115500,0.40851500,102,0.19582700
SHITOMASI,BRIEF,7,1366,123,7.93745000,0.55512700,100,0.17903200
SHITOMASI,BRIEF,8,1389,111,12.25226100,0.54278500,109,0.21629600
SHITOMASI,BRIEF,9,1339,112,8.51618600,0.97568300,100,0.22829800

SHITOMASI,ORB,0,1370,125,8.13559000,0.98920900,0,0.20179300
SHITOMASI,ORB,1,1301,118,8.58054500,0.85034700,106,0.22539500
SHITOMASI,ORB,2,1361,123,10.42494100,0.84615800,102,0.20267700
SHITOMASI,ORB,3,1358,120,10.70133400,0.80661500,99,0.20216200
SHITOMASI,ORB,4,1333,120,11.90173900,0.83108300,102,0.22289100
SHITOMASI,ORB,5,1284,113,11.43604400,1.25857500,103,0.21838900
SHITOMASI,ORB,6,1322,114,8.24775300,0.81316200,97,0.18240300
SHITOMASI,ORB,7,1366,123,8.94727900,1.09393400,98,0.23893100
SHITOMASI,ORB,8,1389,111,11.69500600,0.79059500,104,0.19174400
SHITOMASI,ORB,9,1339,112,11.24720100,1.17778200,97,0.18506300

SHITOMASI,FREAK,0,1370,125,12.39160400,34.42897700,0,0.00395300
SHITOMASI,FREAK,1,1301,118,10.50367600,34.21969600,86,0.25550600
SHITOMASI,FREAK,2,1361,123,9.01933100,31.28947400,90,0.43845600
SHITOMASI,FREAK,3,1358,120,8.20727700,33.41540500,86,0.25434200
